Annual Total,Geothermal Residential ,Solar Residential,Wood Residential,Geothermal Industrial    ,Solar Industrial    ,Wind Industrial    ,Hydroelectric Industrial    ,Hydroelectric Commercial,Geothermal  Commercial,Solar Commercial,Wind Commercial,Hydroelectric  Transportation ,Geothermal Transportation ,Solar Transportation,Wind  Transportation 
1949,Not Available,Not Available,1055.186,Not Available,Not Available,Not Available,75.537,Not Available,Not Available,Not Available,Not Available,1349.185,Not Available,Not Available,Not Available
1950,Not Available,Not Available,1005.529,Not Available,Not Available,Not Available,69.396,Not Available,Not Available,Not Available,Not Available,1346.015,Not Available,Not Available,Not Available
1951,Not Available,Not Available,958.212,Not Available,Not Available,Not Available,63.097,Not Available,Not Available,Not Available,Not Available,1360.698,Not Available,Not Available,Not Available
1952,Not Available,Not Available,899.164,Not Available,Not Available,Not Available,61.538,Not Available,Not Available,Not Available,Not Available,1404.274,Not Available,Not Available,Not Available
1953,Not Available,Not Available,831.947,Not Available,Not Available,Not Available,56.506,Not Available,Not Available,Not Available,Not Available,1356.353,Not Available,Not Available,Not Available
1954,Not Available,Not Available,799.748,Not Available,Not Available,Not Available,55.678,Not Available,Not Available,Not Available,Not Available,1304.094,Not Available,Not Available,Not Available
1955,Not Available,Not Available,775.066,Not Available,Not Available,Not Available,38.149,Not Available,Not Available,Not Available,Not Available,1321.695,Not Available,Not Available,Not Available
1956,Not Available,Not Available,738.706,Not Available,Not Available,Not Available,36.751,Not Available,Not Available,Not Available,Not Available,1397.96,Not Available,Not Available,Not Available
1957,Not Available,Not Available,701.812,Not Available,Not Available,Not Available,35.521,Not Available,Not Available,Not Available,Not Available,1480.092,Not Available,Not Available,Not Available
1958,Not Available,Not Available,688.447,Not Available,Not Available,Not Available,37.162,Not Available,Not Available,Not Available,Not Available,1554.805,Not Available,Not Available,Not Available
1959,Not Available,Not Available,646.926,Not Available,Not Available,Not Available,37.003,Not Available,Not Available,Not Available,Not Available,1511.462,Not Available,Not Available,Not Available
1960,Not Available,Not Available,626.63,Not Available,Not Available,Not Available,38.808,Not Available,Not Available,Not Available,Not Available,1569.167,0.359,Not Available,Not Available
1961,Not Available,Not Available,586.864,Not Available,Not Available,Not Available,35.836,Not Available,Not Available,Not Available,Not Available,1620.627,1.001,Not Available,Not Available
1962,Not Available,Not Available,560.084,Not Available,Not Available,Not Available,35.99,Not Available,Not Available,Not Available,Not Available,1780.151,1.061,Not Available,Not Available
1963,Not Available,Not Available,536.967,Not Available,Not Available,Not Available,33.914,Not Available,Not Available,Not Available,Not Available,1737.441,1.76,Not Available,Not Available
1964,Not Available,Not Available,499.058,Not Available,Not Available,Not Available,33.772,Not Available,Not Available,Not Available,Not Available,1852.542,2.132,Not Available,Not Available
1965,Not Available,Not Available,468.15,Not Available,Not Available,Not Available,32.757,Not Available,Not Available,Not Available,Not Available,2026.32,1.978,Not Available,Not Available
1966,Not Available,Not Available,454.974,Not Available,Not Available,Not Available,33.138,Not Available,Not Available,Not Available,Not Available,2028.381,1.958,Not Available,Not Available
1967,Not Available,Not Available,433.973,Not Available,Not Available,Not Available,35.787,Not Available,Not Available,Not Available,Not Available,2310.877,3.3,Not Available,Not Available
1968,Not Available,Not Available,425.511,Not Available,Not Available,Not Available,35.172,Not Available,Not Available,Not Available,Not Available,2313.457,4.532,Not Available,Not Available
1969,Not Available,Not Available,415.053,Not Available,Not Available,Not Available,34.22,Not Available,Not Available,Not Available,Not Available,2613.763,6.422,Not Available,Not Available
1970,Not Available,Not Available,400.777,Not Available,Not Available,Not Available,34.04,Not Available,Not Available,Not Available,Not Available,2599.507,5.511,Not Available,Not Available
1971,Not Available,Not Available,381.874,Not Available,Not Available,Not Available,33.746,Not Available,Not Available,Not Available,Not Available,2790.405,5.739,Not Available,Not Available
1972,Not Available,Not Available,379.776,Not Available,Not Available,Not Available,34.42,Not Available,Not Available,Not Available,Not Available,2829.445,15.079,Not Available,Not Available
1973,Not Available,Not Available,354.096,Not Available,Not Available,Not Available,34.773,Not Available,Not Available,Not Available,Not Available,2826.675,20.422,Not Available,Not Available
1974,Not Available,Not Available,370.952,Not Available,Not Available,Not Available,33.202,Not Available,Not Available,Not Available,Not Available,3143.378,25.61,Not Available,Not Available
1975,Not Available,Not Available,425.408,Not Available,Not Available,Not Available,32.321,Not Available,Not Available,Not Available,Not Available,3122.285,33.78,Not Available,Not Available
1976,Not Available,Not Available,481.634,Not Available,Not Available,Not Available,33.372,Not Available,Not Available,Not Available,Not Available,2942.893,37.513,Not Available,Not Available
1977,Not Available,Not Available,541.783,Not Available,Not Available,Not Available,32.601,Not Available,Not Available,Not Available,Not Available,2300.652,37.382,Not Available,Not Available
1978,Not Available,Not Available,621.849,Not Available,Not Available,Not Available,31.563,Not Available,Not Available,Not Available,Not Available,2905.42,30.851,Not Available,Not Available
1979,Not Available,Not Available,728.076,Not Available,Not Available,Not Available,34.094,Not Available,Not Available,Not Available,Not Available,2896.591,40.262,Not Available,Not Available
1980,Not Available,Not Available,850,Not Available,Not Available,Not Available,32.838,Not Available,Not Available,Not Available,Not Available,2867.306,52.699,Not Available,Not Available
1981,Not Available,Not Available,870,Not Available,Not Available,Not Available,33.043,Not Available,Not Available,Not Available,Not Available,2724.925,59.437,Not Available,Not Available
1982,Not Available,Not Available,970,Not Available,Not Available,Not Available,33.046,Not Available,Not Available,Not Available,Not Available,3232.512,50.627,Not Available,Not Available
1983,Not Available,Not Available,970,Not Available,Not Available,Not Available,33.255,Not Available,Not Available,Not Available,Not Available,3494.005,63.91,Not Available,0.028
1984,Not Available,Not Available,980,Not Available,Not Available,Not Available,33.002,Not Available,Not Available,Not Available,Not Available,3352.809,80.811,0.055,0.068
1985,Not Available,Not Available,1010,Not Available,Not Available,Not Available,33.024,Not Available,Not Available,Not Available,Not Available,2937.168,97.421,0.111,0.06
1986,Not Available,Not Available,920,Not Available,Not Available,Not Available,33.021,Not Available,Not Available,Not Available,Not Available,3038.157,107.677,0.147,0.044
1987,Not Available,Not Available,850,Not Available,Not Available,Not Available,32.936,Not Available,Not Available,Not Available,Not Available,2601.572,112.27,0.109,0.037
1988,Not Available,Not Available,910,Not Available,Not Available,Not Available,32.635,Not Available,Not Available,Not Available,Not Available,2301.629,106.338,0.094,0.009
1989,5,51.654,920,1.8,0.039,No Data Reported,28.396,0.685,2.5,0.176,No Data Reported,2808.182,152.239,2.614,22.033
1990,5.5,54.724,580,1.9,0.044,No Data Reported,30.947,1.432,2.8,0.2,No Data Reported,3014.012,160.547,3.818,29.007
1991,5.9,56.448,610,2.1,0.049,No Data Reported,29.675,1.369,3,0.224,No Data Reported,2984.899,166.626,4.923,30.796
1992,6.4,58.473,640,2.2,0.054,No Data Reported,30.508,1.266,3.2,0.244,No Data Reported,2585.662,166.899,4.133,29.863
1993,6.8,60.122,550,2.4,0.059,No Data Reported,29.593,1.028,3.4,0.266,No Data Reported,2860.991,173.073,4.767,30.987
1994,6.2,61.77,520,2.8,0.066,No Data Reported,62.186,0.957,4.2,0.298,No Data Reported,2620.314,160.264,5.02,35.56
1995,6.6,62.725,520,3,0.076,No Data Reported,54.695,1.22,4.5,0.341,No Data Reported,3149.392,137.957,5.123,32.63
1996,7,63.302,540,2.9,0.087,No Data Reported,60.773,1.3,5.3,0.393,No Data Reported,3527.582,148.159,5.389,33.44
1997,7.5,62.456,430,3.1,0.096,No Data Reported,58.062,1.228,5.7,0.434,No Data Reported,3581.168,150.398,5.221,33.581
1998,7.7,61.772,380,3,0.109,No Data Reported,54.539,1.228,7.1,0.491,No Data Reported,3241.286,150.65,5.124,30.853
1999,8.5,60.358,390,4.1,0.127,No Data Reported,48.658,1.173,6.7,0.572,No Data Reported,3217.744,151.621,5.063,45.894
2000,8.6,57.707,420,4.4,0.143,No Data Reported,42.183,1.018,7.6,0.648,No Data Reported,2767.916,143.764,5.033,57.057
2001,9.45,55.172,370,4.76,0.176,No Data Reported,32.5,0.687,8.27,0.793,No Data Reported,2208.671,141.981,5.608,69.617
2002,10.204,53.293,380,4.787,0.205,No Data Reported,38.908,0.13,8.753,0.926,No Data Reported,2649.979,147.42,5.644,105.334
2003,13,51.813,400,3.4,0.238,No Data Reported,42.752,0.731,11,1.076,No Data Reported,2749.056,146.045,5.407,113.273
2004,14,51.13,410,3.8,0.292,No Data Reported,32.537,1.051,12,1.318,No Data Reported,2654.88,148.347,5.761,141.664
2005,15.9,50.167,430,4.3,0.437,No Data Reported,31.951,0.86,13.6,1.975,No Data Reported,2670.131,146.903,5.502,178.088
2006,18.3,52.501,380,4.4,0.633,No Data Reported,28.756,0.927,14,2.857,No Data Reported,2839.353,144.5,5.036,263.738
2007,22,55.046,420,4.7,0.89,No Data Reported,15.715,0.764,14.4,4.02,No Data Reported,2429.909,144.674,6.047,340.503
2008,26.4,58.436,470,5,1.426,No Data Reported,16.514,0.591,14.8,6.441,No Data Reported,2494.003,146.233,8.516,545.548
2009,32.8,59.822,504,4.2,1.899,No Data Reported,18.235,0.692,16.7,8.574,0.002,2649.898,146.485,8.697,721.127
2010,36.8,64.714,540.526,4.2,2.916,No Data Reported,16.27,0.785,18.5,13.135,0.157,2521.486,148.479,11.762,923.271
2011,39.6,70.795,524.264,4.2,4.778,0.047,17.477,0.249,19.7,22.097,0.494,3085.127,148.811,16.782,1167.094
2012,39.6,78.841,438.095,4.2,7.792,0.182,22.393,0.262,19.7,35.99,0.513,2606.047,148.092,39.625,1339.365
2013,39.6,91.426,571.655,4.2,8.751,0.356,33.04,0.419,19.7,41.581,0.58,2528.923,150.506,83.24,1600.424
2014,39.6,109.407,578.535,4.2,10.992,0.503,12.192,0.365,19.7,52.459,1.013,2454.019,150.99,164.562,1726.026
2015,39.6,128.213,512.736,4.2,13.722,0.497,13.135,0.325,19.7,56.899,1.103,2307.717,148.336,227.901,1775.705
2016,39.6,161.502,444.654,4.2,19.269,0.653,11.717,2.004,19.7,61.735,1.214,2458.721,146.104,327.712,2093.728
2017,39.6,193.414,429.592,4.2,22.168,0.778,12.736,2.208,19.7,75.6,1.329,2752.024,146.733,485.742,2340.784
2018,39.6,220.837,524.877,4.2,24.429,0.882,10.461,2.069,20.004,93.985,1.585,2650.608,145.06,575.854,2479.897
2019,39.6,251.409,545.53,4.2,27.843,0.888,9.203,1.677,23.634,103.195,1.592,2552.636,133.851,634.613,2632.354
2020,39.6,286.315,440.779,4.2,31.456,5.415,8.781,1.874,23.639,117.955,1.473,2492.052,135.462,776.511,2957.843
2021,39.6,328.73,463.779,4.2,35.115,8.518,8.376,2.23,24.101,138.394,1.495,2272.346,138.054,998.993,3321.685
